1,9.29,Sousou no Frieren,52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,28,Sep 2023,Mar 2024,Finished Airing,Fall 2023,Fridays at 23:00 (JST),,,,,"['Adventure', 'Drama', 'Fantasy']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#128,"1,229,218","76,788","Sep 29, 2023","Mar 22, 2024"
2,9.10,Fullmetal Alchemist: Brotherhood,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,64,Apr 2009,Jul 2010,Finished Airing,Spring 2009,Sundays at 17:00 (JST),,,,,"['Action', 'Adventure', 'Drama', 'Fantasy']",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#3,"3,579,636","236,948","Apr 5, 2009","Jul 4, 2010"
3,9.07,Steins;Gate,9253,https://myanimelist.net/anime/9253/Steins_Gate,TV,24,Apr 2011,Sep 2011,Finished Airing,Spring 2011,Wednesdays at 02:05 (JST),,,,Visual novel,"['Drama', 'Sci-Fi', 'Suspense']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#14,"2,739,460","198,369","Apr 6, 2011","Sep 14, 2011"
4,9.05,Shingeki no Kyojin Season 3 Part 2,38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV,10,Apr 2019,Jul 2019,Finished Airing,Spring 2019,Mondays at 00:10 (JST),,,,,"['Action', 'Drama', 'Suspense']",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#21,"2,499,530","61,854","Apr 29, 2019","Jul 1, 2019"
5,9.05,Gintama: The Final,39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie,1,Jan 2021,Jan 2021,Finished Airing,N/A,N/A,,,,,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",N/A,1 hr. 44 min.,PG-13 - Teens 13 or older,#1517,"174,987","4,546",N/A,N/A
6,9.05,Gintama°,28977,https://myanimelist.net/anime/28977/Gintama°,TV,51,Apr 2015,Mar 2016,Finished Airing,Spring 2015,Wednesdays at 18:00 (JST),,,,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#345,"676,651","17,322","Apr 8, 2015","Mar 30, 2016"
7,9.03,Chainsaw Man Movie: Reze-hen,57555,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,Movie,1,Sep 2025,Sep 2025,Finished Airing,N/A,N/A,"None found,","None found,",,,"['Action', 'Fantasy']",N/A,1 hr. 41 min.,R - 17+ (violence &amp; profanity),#1607,"163,157","1,325",N/A,N/A
8,9.03,Hunter x Hunter (2011),11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,148,Oct 2011,Sep 2014,Finished Airing,Fall 2011,Sundays at 10:55 (JST),,,,,"['Action', 'Adventure', 'Fantasy']",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#8,"3,084,300","224,103","Oct 2, 2011","Sep 24, 2014"
9,9.03,One Piece Fan Letter,60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,Special,1,Oct 2024,Oct 2024,Finished Airing,N/A,N/A,"None found,","None found,",,,"['Action', 'Adventure', 'Fantasy']",N/A,24 min.,PG-13 - Teens 13 or older,#1941,"128,702","2,370",N/A,N/A
10,9.02,Ginga Eiyuu Densetsu,820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,110,Jan 1988,Mar 1997,Finished Airing,N/A,N/A,,,,Novel,"['Drama', 'Sci-Fi']",N/A,26 min. per ep.,R - 17+ (violence &amp; profanity),#752,"351,007","17,328","Jan 8, 1988","Mar 17, 1997"
