Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
2335,7.42,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,2889,https://myanimelist.net/anime/2889/Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,Movie,1,Dec 2007,Dec 2007,Finished Airing,N/A,N/A,Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,1 hr. 32 min.,PG-13 - Teens 13 or older,#1041,"261,817",558,N/A,N/A
2336,7.42,Boku no Hero Academia the Movie 3: World Heroes&#039; Mission - Tabidachi,50532,https://myanimelist.net/anime/50532/Boku_no_Hero_Academia_the_Movie_3__World_Heroes_Mission_-_Tabidachi,Special,1,Feb 2022,Feb 2022,Finished Airing,N/A,N/A,Bones,Manga,Action,Shounen,5 min.,PG-13 - Teens 13 or older,#4070,"37,157",97,N/A,N/A
2337,7.42,Captain Tsubasa (2018),36934,https://myanimelist.net/anime/36934/Captain_Tsubasa_2018,TV,52,Apr 2018,Apr 2019,Finished Airing,Spring 2018,Tuesdays at 01:35 (JST),David Production,Manga,Sports,Shounen,22 min. per ep.,G - All Ages,#2623,"81,939",403,"Apr 3, 2018","Apr 2, 2019"
2338,7.42,Chou Denji Machine Voltes V,1069,https://myanimelist.net/anime/1069/Chou_Denji_Machine_Voltes_V,TV,40,Jun 1977,Mar 1978,Finished Airing,Summer 1977,Saturdays at 18:00 (JST),"Sunrise, Toei Animation",Original,"Adventure, Drama, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#7266,"9,231",83,"Jun 4, 1977","Mar 25, 1978"
2339,7.42,Chouyaku Hyakuninisshu: Uta Koi.,13349,https://myanimelist.net/anime/13349/Chouyaku_Hyakuninisshu__Uta_Koi,TV,13,Jul 2012,Sep 2012,Finished Airing,Summer 2012,Mondays at 01:30 (JST),TYO Animations,Manga,"Comedy, Romance",Josei,24 min. per ep.,PG-13 - Teens 13 or older,#4368,"31,972",135,"Jul 3, 2012","Sep 25, 2012"
2340,7.42,Darker than Black: Ryuusei no Gemini,6573,https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini,TV,12,Oct 2009,Dec 2009,Finished Airing,Fall 2009,Fridays at 01:25 (JST),Bones,Original,"Action, Mystery",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#605,"425,210","1,518","Oct 9, 2009","Dec 25, 2009"
2341,7.42,Doraemon Movie 39: Nobita no Getsumen Tansaki,38530,https://myanimelist.net/anime/38530/Doraemon_Movie_39__Nobita_no_Getsumen_Tansaki,Movie,1,Mar 2019,Mar 2019,Finished Airing,N/A,N/A,Shin-Ei Animation,Manga,"Adventure, Fantasy, Sci-Fi",Kids,1 hr. 50 min.,PG - Children,#8698,"5,926",13,N/A,N/A
2342,7.42,Dragon Ball Z Movie 14: Kami to Kami,14837,https://myanimelist.net/anime/14837/Dragon_Ball_Z_Movie_14__Kami_to_Kami,Movie,1,Mar 2013,Mar 2013,Finished Airing,N/A,N/A,Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,1 hr. 25 min.,PG-13 - Teens 13 or older,#1144,"238,002",308,N/A,N/A
2343,7.42,Edens Zero 2nd Season,50002,https://myanimelist.net/anime/50002/Edens_Zero_2nd_Season,TV,25,Apr 2023,Oct 2023,Finished Airing,Spring 2023,Sundays at 00:55 (JST),J.C.Staff,Manga,"Action, Adventure, Fantasy, Sci-Fi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#2667,"79,740",311,"Apr 2, 2023","Oct 1, 2023"
2344,7.42,Fukigen na Mononokean,32696,https://myanimelist.net/anime/32696/Fukigen_na_Mononokean,TV,13,Jun 2016,Sep 2016,Finished Airing,Summer 2016,Tuesdays at 23:30 (JST),Pierrot Plus,Web manga,"Comedy, Supernatural",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1805,"140,495",644,"Jun 28, 2016","Sep 20, 2016"
2345,7.42,Future GPX Cyber Formula Zero,1393,https://myanimelist.net/anime/1393/Future_GPX_Cyber_Formula_Zero,OVA,8,Apr 1994,Feb 1995,Finished Airing,N/A,N/A,Sunrise,Original,"Drama, Sci-Fi",N/A,30 min. per ep.,PG-13 - Teens 13 or older,#10388,"3,519",19,"Apr 1, 1994","Feb 1, 1995"
2346,7.42,Gangsta.,25183,https://myanimelist.net/anime/25183/Gangsta,TV,12,Jul 2015,Sep 2015,Finished Airing,Summer 2015,Thursdays at 02:44 (JST),Manglobe,Manga,"Action, Drama",Seinen,23 min. per ep.,R - 17+ (violence &amp; profanity),#391,"614,746","4,029","Jul 2, 2015","Sep 24, 2015"
2347,7.42,Genshiken Nidaime,18465,https://myanimelist.net/anime/18465/Genshiken_Nidaime,TV,13,Jul 2013,Sep 2013,Finished Airing,Summer 2013,Sundays at 01:00 (JST),Production I.G,Manga,Slice of Life,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#3235,"56,465",125,"Jul 7, 2013","Sep 29, 2013"
2348,7.42,Goblin Slayer,37349,https://myanimelist.net/anime/37349/Goblin_Slayer,TV,12,Oct 2018,Dec 2018,Finished Airing,Fall 2018,Sundays at 00:30 (JST),White Fox,Light novel,"Action, Adventure, Fantasy",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#133,"1,208,323","7,624","Oct 7, 2018","Dec 30, 2018"
2349,7.42,Gokusen,242,https://myanimelist.net/anime/242/Gokusen,TV,13,Jan 2004,Mar 2004,Finished Airing,Winter 2004,Wednesdays at 01:23 (JST),Madhouse,Manga,"Action, Comedy",Josei,23 min. per ep.,R - 17+ (violence &amp; profanity),#3377,"52,377",276,"Jan 7, 2004","Mar 31, 2004"
2350,7.42,Grimm Meisaku Gekijou,4060,https://myanimelist.net/anime/4060/Grimm_Meisaku_Gekijou,TV,24,Oct 1987,Mar 1988,Finished Airing,Fall 1987,Unknown,Nippon Animation,Other,"Adventure, Comedy, Fantasy",Kids,24 min. per ep.,G - All Ages,#8704,"5,919",30,"Oct 21, 1987","Mar 30, 1988"
2351,7.42,Haiyore! Nyaruko-san F,26023,https://myanimelist.net/anime/26023/Haiyore_Nyaruko-san_F,OVA,1,Jun 2015,Jun 2015,Finished Airing,N/A,N/A,Xebec,Light novel,"Comedy, Romance, Sci-Fi",N/A,27 min.,PG-13 - Teens 13 or older,#3124,"60,467",86,N/A,N/A
2352,7.42,Hakuouki: Reimeiroku,13115,https://myanimelist.net/anime/13115/Hakuouki__Reimeiroku,TV,12,Jul 2012,Sep 2012,Finished Airing,Summer 2012,Unknown,Studio Deen,Visual novel,"Action, Drama, Supernatural",Josei,23 min. per ep.,R - 17+ (violence &amp; profanity),#3115,"60,902",137,"Jul 10, 2012","Sep 25, 2012"
2353,7.42,Hetalia World Series Specials,10497,https://myanimelist.net/anime/10497/Hetalia_World_Series_Specials,Special,4,Mar 2011,Sep 2012,Finished Airing,N/A,N/A,Studio Deen,Web manga,Comedy,N/A,5 min. per ep.,PG-13 - Teens 13 or older,#4866,"25,129",38,"Mar 25, 2011","Sep 24, 2012"
2354,7.42,Hori-san to Miyamura-kun,14753,https://myanimelist.net/anime/14753/Hori-san_to_Miyamura-kun,OVA,6,Sep 2012,May 2021,Finished Airing,N/A,N/A,"Gonzo, Hoods Entertainment, Studio KAI, Marone",Web manga,Romance,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1898,"132,581",725,"Sep 26, 2012","May 25, 2021"
2355,7.42,Huyao Xiao Hongniang: Beishan Yaodi,36823,https://myanimelist.net/anime/36823/Huyao_Xiao_Hongniang__Beishan_Yaodi,ONA,8,Nov 2016,Jan 2017,Finished Airing,N/A,N/A,Haoliners Animation League,Manga,"Comedy, Romance, Supernatural",N/A,14 min. per ep.,PG-13 - Teens 13 or older,#7316,"9,083",6,"Nov 18, 2016","Jan 6, 2017"
2356,7.42,Ie Naki Ko Remy Specials,10471,https://myanimelist.net/anime/10471/Ie_Naki_Ko_Remy_Specials,Special,3,Jun 1997,Jun 1997,Finished Airing,N/A,N/A,Nippon Animation,Novel,"Adventure, Drama",N/A,23 min. per ep.,PG - Children,#11118,"2,856",5,N/A,N/A
2357,7.42,Jashin-chan Dropkick X,42994,https://myanimelist.net/anime/42994/Jashin-chan_Dropkick_X,TV,12,Jul 2022,Sep 2022,Finished Airing,Summer 2022,Wednesdays at 02:05 (JST),Nomad,Web manga,"Comedy, Supernatural",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3681,"45,203",151,"Jul 6, 2022","Sep 21, 2022"
2358,7.42,Jewelpet Twinkle☆,8217,https://myanimelist.net/anime/8217/Jewelpet_Twinkle☆,TV,52,Apr 2010,Apr 2011,Finished Airing,Spring 2010,Unknown,Studio Comet,Original,N/A,N/A,24 min. per ep.,PG - Children,#6055,"14,350",140,"Apr 3, 2010","Apr 2, 2011"
2359,7.42,K,14467,https://myanimelist.net/anime/14467/K,TV,13,Oct 2012,Dec 2012,Finished Airing,Fall 2012,Thursdays at Unknown,GoHands,Original,"Action, Mystery",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#273,"793,852","6,897","Oct 5, 2012","Dec 28, 2012"
2360,7.42,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,37305,https://myanimelist.net/anime/37305/K__Seven_Stories_Movie_4_-_Lost_Small_World_-_Ori_no_Mukou_ni,Movie,1,Oct 2018,Oct 2018,Finished Airing,N/A,N/A,GoHands,Light novel,Action,N/A,1 hr. 6 min.,PG-13 - Teens 13 or older,#5102,"22,380",37,N/A,N/A
2361,7.42,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,3392,https://myanimelist.net/anime/3392/Kiniro_no_Corda__Primo_Passo_-_Hitonatsu_no_Encore,Special,1,Mar 2007,Mar 2007,Finished Airing,N/A,N/A,Yumeta Company,Visual novel,Romance,Josei,29 min.,G - All Ages,#5010,"23,395",78,N/A,N/A
2362,7.42,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,17187,https://myanimelist.net/anime/17187/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_1_Ghost_Pain,Movie,1,Jun 2013,Jun 2013,Finished Airing,N/A,N/A,Production I.G,Manga,"Mystery, Sci-Fi",N/A,58 min.,R - 17+ (violence &amp; profanity),#2957,"67,022",67,N/A,N/A
2363,7.42,Koukaku Kidoutai: Shin Movie,27411,https://myanimelist.net/anime/27411/Koukaku_Kidoutai__Shin_Movie,Movie,1,Jun 2015,Jun 2015,Finished Airing,N/A,N/A,Production I.G,Manga,"Award Winning, Mystery, Sci-Fi",N/A,1 hr. 39 min.,R - 17+ (violence &amp; profanity),#3481,"49,662",70,N/A,N/A
2364,7.42,Meitantei Conan Movie 11: Konpeki no Jolly Roger,2171,https://myanimelist.net/anime/2171/Meitantei_Conan_Movie_11__Konpeki_no_Jolly_Roger,Movie,1,Apr 2007,Apr 2007,Finished Airing,N/A,N/A,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,1 hr. 45 min.,PG-13 - Teens 13 or older,#3562,"47,693",12,N/A,N/A
2365,7.42,Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,58511,https://myanimelist.net/anime/58511/Nanatsu_no_Taizai__Mokushiroku_no_Yonkishi_2nd_Season,TV,12,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Sundays at 16:30 (JST),Telecom Animation Film,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#3931,"39,816",133,"Oct 6, 2024","Dec 29, 2024"
2366,7.42,Naruto: Shippuuden Movie 4 - The Lost Tower,8246,https://myanimelist.net/anime/8246/Naruto__Shippuuden_Movie_4_-_The_Lost_Tower,Movie,1,Jul 2010,Jul 2010,Finished Airing,N/A,N/A,Studio Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,1 hr. 25 min.,PG-13 - Teens 13 or older,#989,"273,699",231,N/A,N/A
2367,7.42,Oshi ga Budoukan Ittekuretara Shinu,37890,https://myanimelist.net/anime/37890/Oshi_ga_Budoukan_Ittekuretara_Shinu,TV,12,Jan 2020,Mar 2020,Finished Airing,Winter 2020,Fridays at 01:28 (JST),8bit,Manga,Comedy,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#3480,"49,669",349,"Jan 10, 2020","Mar 27, 2020"
2368,7.42,Otome Youkai Zakuro,8476,https://myanimelist.net/anime/8476/Otome_Youkai_Zakuro,TV,13,Oct 2010,Dec 2010,Finished Airing,Fall 2010,Tuesdays at 01:30 (JST),J.C.Staff,Manga,"Romance, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#1927,"129,939",431,"Oct 5, 2010","Dec 28, 2010"
2369,7.42,Paniponi Dash!,490,https://myanimelist.net/anime/490/Paniponi_Dash,TV,26,Jul 2005,Dec 2005,Finished Airing,Summer 2005,Mondays at 01:30 (JST),"Shaft, GANSIS",Manga,Comedy,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#2955,"67,152",475,"Jul 4, 2005","Dec 26, 2005"
2370,7.42,Pokemon (2023),53876,https://myanimelist.net/anime/53876/Pokemon_2023,,,Apr 2023,,Currently Airing,Spring 2023,Fridays at 18:55 (JST),OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,24 min.,PG - Children,#3954,"39,484",386,N/A,N/A
2371,7.42,Pokemon XY: Mega Evolution,23301,https://myanimelist.net/anime/23301/Pokemon_XY__Mega_Evolution,Special,4,Apr 2014,Oct 2015,Finished Airing,N/A,N/A,OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,24 min. per ep.,PG - Children,#4294,"33,366",18,"Apr 3, 2014","Oct 29, 2015"
2372,7.42,Rakudai Kishi no Cavalry,30296,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,TV,12,Oct 2015,Dec 2015,Finished Airing,Fall 2015,Saturdays at 23:00 (JST),"SILVER LINK., Nexus",Light novel,"Action, Fantasy, Romance, Ecchi",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#176,"1,013,773","8,963","Oct 3, 2015","Dec 19, 2015"
2373,7.42,Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,792,https://myanimelist.net/anime/792/Ranma_½__Kessen_Tougenkyou_Hanayome_wo_Torimodose,Movie,1,Aug 1992,Aug 1992,Finished Airing,N/A,N/A,Studio Deen,Manga,"Adventure, Comedy",Shounen,1 hr.,PG-13 - Teens 13 or older,#4960,"23,931",21,N/A,N/A
2374,7.42,Sakigake!! Otokojuku,2903,https://myanimelist.net/anime/2903/Sakigake_Otokojuku,TV,34,Feb 1988,Nov 1988,Finished Airing,Winter 1988,Mondays at 19:00 (JST),Toei Animation,Manga,"Action, Comedy",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#5809,"16,011",130,"Feb 25, 1988","Nov 14, 1988"
2375,7.42,Salaryman Kintarou,1608,https://myanimelist.net/anime/1608/Salaryman_Kintarou,TV,20,Feb 2001,Mar 2001,Finished Airing,Winter 2001,Unknown,JCF,Manga,"Action, Comedy, Drama",Seinen,25 min. per ep.,R+ - Mild Nudity,#6707,"11,204",38,"Feb 18, 2001","Mar 18, 2001"
2376,7.42,Shingeki no Bahamut: Virgin Soul,30736,https://myanimelist.net/anime/30736/Shingeki_no_Bahamut__Virgin_Soul,TV,24,Apr 2017,Sep 2017,Finished Airing,Spring 2017,Saturdays at 01:55 (JST),MAPPA,Card game,"Action, Adventure, Fantasy",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#1058,"256,255","1,073","Apr 8, 2017","Sep 30, 2017"
2377,7.42,Shugo Chara!! Doki,5262,https://myanimelist.net/anime/5262/Shugo_Chara_Doki,TV,51,Oct 2008,Sep 2009,Finished Airing,Fall 2008,Saturdays at 09:30 (JST),Satelight,Manga,Comedy,Shoujo,24 min. per ep.,PG - Children,#2201,"107,869",589,"Oct 4, 2008","Sep 25, 2009"
2378,7.42,Sora no Otoshimono Forte,8407,https://myanimelist.net/anime/8407/Sora_no_Otoshimono_Forte,TV,12,Oct 2010,Dec 2010,Finished Airing,Fall 2010,Saturdays at 01:00 (JST),AIC ASTA,Manga,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#902,"301,771",889,"Oct 2, 2010","Dec 18, 2010"
2379,7.42,Taiyou no Kiba Dougram,2257,https://myanimelist.net/anime/2257/Taiyou_no_Kiba_Dougram,TV,75,Oct 1981,Mar 1983,Finished Airing,Fall 1981,Fridays at 17:55 (JST),Sunrise,Original,"Drama, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#7955,"7,369",81,"Oct 23, 1981","Mar 25, 1983"
2380,7.42,Tenchi Muyou!,696,https://myanimelist.net/anime/696/Tenchi_Muyou,TV,26,Apr 1995,Sep 1995,Finished Airing,Spring 1995,Sundays at 18:30 (JST),AIC,Original,"Comedy, Romance, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2534,"86,543",669,"Apr 2, 1995","Sep 24, 1995"
2381,7.42,Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,10731,https://myanimelist.net/anime/10731/Tennis_no_Oujisama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen,Movie,1,Sep 2011,Sep 2011,Finished Airing,N/A,N/A,"Production I.G, M.S.C",Manga,Sports,Shounen,1 hr. 27 min.,PG-13 - Teens 13 or older,#6613,"11,617",12,N/A,N/A
2382,7.42,Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,814,https://myanimelist.net/anime/814/Tennis_no_Oujisama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri,Movie,1,Jan 2005,Jan 2005,Finished Airing,N/A,N/A,Trans Arts,Manga,"Comedy, Sports",Shounen,30 min.,PG-13 - Teens 13 or older,#5786,"16,229",29,N/A,N/A
2383,7.42,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",53516,https://myanimelist.net/anime/53516/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu,TV,12,Apr 2024,Jun 2024,Finished Airing,Spring 2024,Tuesdays at 00:00 (JST),Tsumugi Akita Animation Lab,Light novel,"Adventure, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1121,"242,563","1,158","Apr 2, 2024","Jun 18, 2024"
2384,7.42,To LOVE-Ru Darkness 2nd,28979,https://myanimelist.net/anime/28979/To_LOVE-Ru_Darkness_2nd,TV,12,Jul 2015,Sep 2015,Finished Airing,Summer 2015,Tuesdays at 00:00 (JST),Xebec,Manga,"Comedy, Romance, Sci-Fi, Ecchi",Shounen,23 min. per ep.,R+ - Mild Nudity,#988,"273,731",967,"Jul 7, 2015","Sep 29, 2015"
2385,7.42,Toradora! Recap,23701,https://myanimelist.net/anime/23701/Toradora_Recap,OVA,1,Apr 2009,Apr 2009,Finished Airing,N/A,N/A,J.C.Staff,Light novel,"Comedy, Romance",N/A,29 min.,PG-13 - Teens 13 or older,#2973,"66,425",68,N/A,N/A
2386,7.42,Toshokan Sensou,3613,https://myanimelist.net/anime/3613/Toshokan_Sensou,TV,12,Apr 2008,Jun 2008,Finished Airing,Spring 2008,Fridays at 00:45 (JST),Production I.G,Novel,"Action, Comedy, Romance",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2696,"78,282",414,"Apr 11, 2008","Jun 27, 2008"
2387,7.42,Uchuu no Kishi Tekkaman Blade,1459,https://myanimelist.net/anime/1459/Uchuu_no_Kishi_Tekkaman_Blade,TV,49,Feb 1992,Feb 1993,Finished Airing,Winter 1992,Unknown,Tatsunoko Production,Original,"Adventure, Drama, Romance, Sci-Fi",N/A,25 min. per ep.,R - 17+ (violence &amp; profanity),#5500,"18,601",176,"Feb 18, 1992","Feb 2, 1993"
2388,7.42,Witch Watch,59597,https://myanimelist.net/anime/59597/Witch_Watch,TV,25,Apr 2025,Oct 2025,Finished Airing,Spring 2025,Sundays at 17:00 (JST),Bibury Animation Studios,Manga,"Comedy, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#1504,"176,441",672,"Apr 6, 2025","Oct 5, 2025"
