Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
1,9.29,Sousou no Frieren,52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,28,Sep 2023,Mar 2024,Finished Airing,Fall 2023,Fridays at 23:00 (JST),Madhouse,Manga,"Adventure, Drama, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#127,"1,237,988","77,394","Sep 29, 2023","Mar 22, 2024"
2,9.10,Fullmetal Alchemist: Brotherhood,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,64,Apr 2009,Jul 2010,Finished Airing,Spring 2009,Sundays at 17:00 (JST),Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#3,"3,584,770","237,270","Apr 5, 2009","Jul 4, 2010"
3,9.07,Steins;Gate,9253,https://myanimelist.net/anime/9253/Steins_Gate,TV,24,Apr 2011,Sep 2011,Finished Airing,Spring 2011,Wednesdays at 02:05 (JST),White Fox,Visual novel,"Drama, Sci-Fi, Suspense",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#14,"2,742,927","198,569","Apr 6, 2011","Sep 14, 2011"
4,9.05,Shingeki no Kyojin Season 3 Part 2,38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV,10,Apr 2019,Jul 2019,Finished Airing,Spring 2019,Mondays at 00:10 (JST),Wit Studio,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#21,"2,504,465","61,931","Apr 29, 2019","Jul 1, 2019"
5,9.05,Gintama: The Final,39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie,1,Jan 2021,Jan 2021,Finished Airing,N/A,N/A,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,#1512,"175,515","4,563",N/A,N/A
6,9.05,Gintama°,28977,https://myanimelist.net/anime/28977/Gintama°,TV,51,Apr 2015,Mar 2016,Finished Airing,Spring 2015,Wednesdays at 18:00 (JST),Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#346,"677,460","17,318","Apr 8, 2015","Mar 30, 2016"
7,9.03,Chainsaw Man Movie: Reze-hen,57555,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,Movie,1,Sep 2025,Sep 2025,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Fantasy",Shounen,1 hr. 41 min.,R - 17+ (violence &amp; profanity),#1559,"171,065","1,500",N/A,N/A
8,9.03,Hunter x Hunter (2011),11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,148,Oct 2011,Sep 2014,Finished Airing,Fall 2011,Sundays at 10:55 (JST),Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#8,"3,089,727","224,465","Oct 2, 2011","Sep 24, 2014"
9,9.03,One Piece Fan Letter,60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,Special,1,Oct 2024,Oct 2024,Finished Airing,N/A,N/A,Toei Animation,Light novel,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,#1926,"130,123","2,376",N/A,N/A
10,9.02,Ginga Eiyuu Densetsu,820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,110,Jan 1988,Mar 1997,Finished Airing,N/A,N/A,"K-Factory, Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi",N/A,26 min. per ep.,R - 17+ (violence &amp; profanity),#752,"351,628","17,365","Jan 8, 1988","Mar 17, 1997"
11,9.02,Gintama&#039;,9969,https://myanimelist.net/anime/9969/Gintama,TV,51,Apr 2011,Mar 2012,Finished Airing,Spring 2011,Mondays at 18:00 (JST),Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#405,"599,456","8,492","Apr 4, 2011","Mar 26, 2012"
12,9.02,Gintama&#039;: Enchousen,15417,https://myanimelist.net/anime/15417/Gintama__Enchousen,TV,13,Oct 2012,Mar 2013,Finished Airing,Fall 2012,Thursdays at 18:00 (JST),Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#754,"350,703","3,138","Oct 4, 2012","Mar 28, 2013"
13,8.99,Bleach: Sennen Kessen-hen,41467,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,TV,13,Oct 2022,Dec 2022,Finished Airing,Fall 2022,Tuesdays at 00:00 (JST),Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#358,"663,923","22,650","Oct 11, 2022","Dec 27, 2022"
14,8.98,Gintama.,34096,https://myanimelist.net/anime/34096/Gintama,TV,12,Jan 2017,Mar 2017,Finished Airing,Winter 2017,Mondays at 01:35 (JST),Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#786,"340,711","2,796","Jan 9, 2017","Mar 27, 2017"
15,8.97,Kaguya-sama wa Kokurasetai: Ultra Romantic,43608,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,TV,13,Apr 2022,Jun 2022,Finished Airing,Spring 2022,Saturdays at 00:00 (JST),A-1 Pictures,Manga,"Comedy, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#166,"1,062,867","32,718","Apr 9, 2022","Jun 25, 2022"
16,8.94,Fruits Basket: The Final,42938,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,TV,13,Apr 2021,Jun 2021,Finished Airing,Spring 2021,Tuesdays at 01:30 (JST),TMS Entertainment,Manga,"Drama, Romance, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,#449,"543,142","21,136","Apr 6, 2021","Jun 29, 2021"
17,8.93,Clannad: After Story,4181,https://myanimelist.net/anime/4181/Clannad__After_Story,TV,24,Oct 2008,Mar 2009,Finished Airing,Fall 2008,Fridays at 01:59 (JST),Kyoto Animation,Visual novel,"Drama, Romance",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#122,"1,260,716","72,753","Oct 3, 2008","Mar 27, 2009"
18,8.93,Gintama,918,https://myanimelist.net/anime/918/Gintama,TV,201,Apr 2006,Mar 2010,Finished Airing,Spring 2006,Thursdays at 18:00 (JST),Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#146,"1,131,369","61,067","Apr 4, 2006","Mar 25, 2010"
19,8.93,Koe no Katachi,28851,https://myanimelist.net/anime/28851/Koe_no_Katachi,Movie,1,Sep 2016,Sep 2016,Finished Airing,N/A,N/A,Kyoto Animation,Manga,"Award Winning, Drama",Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,#19,"2,532,791","93,847",N/A,N/A
20,8.91,Kusuriya no Hitorigoto 2nd Season,58514,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,TV,24,Jan 2025,Jul 2025,Finished Airing,Winter 2025,Fridays at 23:00 (JST),"OLM, TOHO animation STUDIO",Light novel,"Drama, Mystery",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#632,"410,583","6,120","Jan 10, 2025","Jul 4, 2025"
21,8.91,Code Geass: Hangyaku no Lelouch R2,2904,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,TV,25,Apr 2008,Sep 2008,Finished Airing,Spring 2008,Sundays at 17:00 (JST),Sunrise,Original,"Award Winning, Drama, Sci-Fi",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#47,"1,904,737","79,714","Apr 6, 2008","Sep 28, 2008"
22,8.90,3-gatsu no Lion 2nd Season,35180,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,TV,22,Oct 2017,Mar 2018,Finished Airing,Fall 2017,Saturdays at 23:00 (JST),Shaft,Manga,Drama,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,#596,"430,003","15,343","Oct 14, 2017","Mar 31, 2018"
23,8.90,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,15335,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Movie,1,Jul 2013,Jul 2013,Finished Airing,N/A,N/A,Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,#1053,"257,754","2,146",N/A,N/A
24,8.89,Monster,19,https://myanimelist.net/anime/19/Monster,TV,74,Apr 2004,Sep 2005,Finished Airing,Spring 2004,Wednesdays at 00:40 (JST),Madhouse,Manga,"Drama, Mystery, Suspense",Seinen,24 min. per ep.,R+ - Mild Nudity,#119,"1,270,711","59,461","Apr 7, 2004","Sep 28, 2005"
25,8.88,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,37491,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,TV,14,Jul 2018,Oct 2018,Finished Airing,Summer 2018,Mondays at 01:35 (JST),Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#1233,"220,084","1,085","Jul 9, 2018","Oct 8, 2018"
26,8.86,Kusuriya no Hitorigoto,54492,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,TV,24,Oct 2023,Mar 2024,Finished Airing,Fall 2023,Sundays at 01:05 (JST),"OLM, TOHO animation STUDIO",Light novel,"Drama, Mystery",N/A,22 min. per ep.,PG-13 - Teens 13 or older,#304,"734,626","23,923","Oct 22, 2023","Mar 24, 2024"
27,8.86,Owarimonogatari 2nd Season,35247,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Special,7,Aug 2017,Aug 2017,Finished Airing,N/A,N/A,Shaft,Light novel,"Comedy, Mystery, Supernatural",N/A,22 min. per ep.,R - 17+ (violence &amp; profanity),#598,"427,998","8,975","Aug 12, 2017","Aug 13, 2017"
28,8.86,Shingeki no Kyojin: The Final Season - Kanketsu-hen,51535,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,Special,2,Mar 2023,Nov 2023,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Drama, Suspense",Shounen,1 hr. 12 min. per ep.,R - 17+ (violence &amp; profanity),#270,"808,098","16,891","Mar 4, 2023","Nov 5, 2023"
29,8.84,Violet Evergarden Movie,37987,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Movie,1,Sep 2020,Sep 2020,Finished Airing,N/A,N/A,Kyoto Animation,Light novel,"Award Winning, Drama",N/A,2 hr. 20 min.,PG-13 - Teens 13 or older,#330,"697,593","9,485",N/A,N/A
30,8.83,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,59571,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,Movie,1,Nov 2024,Nov 2024,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Drama, Suspense",Shounen,2 hr. 24 min.,R - 17+ (violence &amp; profanity),#3014,"64,417",472,N/A,N/A
31,8.83,Kimi no Na wa.,32281,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Movie,1,Aug 2016,Aug 2016,Finished Airing,N/A,N/A,CoMix Wave Films,Original,"Award Winning, Drama",N/A,1 hr. 46 min.,PG-13 - Teens 13 or older,#11,"2,949,300","94,333",N/A,N/A
32,8.83,Kingdom 3rd Season,40682,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,TV,26,Apr 2020,Oct 2021,Finished Airing,Spring 2020,Mondays at 00:10 (JST),"Studio Pierrot, Studio Signpost",Manga,Action,Seinen,25 min. per ep.,R - 17+ (violence &amp; profanity),#1984,"125,139","2,538","Apr 6, 2020","Oct 17, 2021"
33,8.82,Takopii no Genzai,60489,https://myanimelist.net/anime/60489/Takopii_no_Genzai,ONA,6,Jun 2025,Aug 2025,Finished Airing,N/A,N/A,Enishiya,Manga,"Drama, Sci-Fi",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#1156,"235,516","4,971","Jun 28, 2025","Aug 2, 2025"
34,8.82,Vinland Saga Season 2,49387,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,TV,24,Jan 2023,Jun 2023,Finished Airing,Winter 2023,Tuesdays at 00:30 (JST),MAPPA,Manga,"Action, Adventure, Drama",Seinen,25 min. per ep.,R - 17+ (violence &amp; profanity),#277,"790,468","19,053","Jan 10, 2023","Jun 20, 2023"
35,8.81,Gintama. Shirogane no Tamashii-hen,36838,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,TV,12,Jan 2018,Mar 2018,Finished Airing,Winter 2018,Mondays at 01:35 (JST),Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#1171,"232,468","1,217","Jan 8, 2018","Mar 26, 2018"
36,8.78,Hajime no Ippo,263,https://myanimelist.net/anime/263/Hajime_no_Ippo,TV,75,Oct 2000,Mar 2002,Finished Airing,Fall 2000,Tuesdays at 00:50 (JST),Madhouse,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#351,"668,296","24,436","Oct 4, 2000","Mar 27, 2002"
37,8.78,Shingeki no Kyojin: The Final Season,40028,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV,16,Dec 2020,Mar 2021,Finished Airing,Winter 2021,Mondays at 00:10 (JST),MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#31,"2,209,010","53,504","Dec 7, 2020","Mar 29, 2021"
38,8.78,Kizumonogatari III: Reiketsu-hen,31758,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Movie,1,Jan 2017,Jan 2017,Finished Airing,N/A,N/A,Shaft,Light novel,"Action, Mystery, Supernatural",N/A,1 hr. 22 min.,R - 17+ (violence &amp; profanity),#498,"500,109","7,997",N/A,N/A
39,8.78,Mob Psycho 100 II,37510,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,TV,13,Jan 2019,Apr 2019,Finished Airing,Winter 2019,Mondays at 23:00 (JST),Bones,Web manga,"Action, Comedy, Supernatural",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#73,"1,675,695","33,512","Jan 7, 2019","Apr 1, 2019"
40,8.77,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,32935,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,TV,10,Oct 2016,Dec 2016,Finished Airing,Fall 2016,Saturdays at 01:55 (JST),Production I.G,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#116,"1,296,819","15,897","Oct 8, 2016","Dec 10, 2016"
41,8.77,Sen to Chihiro no Kamikakushi,199,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Movie,1,Jul 2001,Jul 2001,Finished Airing,N/A,N/A,Studio Ghibli,Original,"Adventure, Award Winning, Fantasy",N/A,2 hr. 4 min.,PG - Children,#44,"1,982,324","34,622",N/A,N/A
42,8.77,Shingeki no Kyojin: The Final Season Part 2,48583,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,TV,12,Jan 2022,Apr 2022,Finished Airing,Winter 2022,Mondays at 00:05 (JST),MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#94,"1,487,597","31,763","Jan 10, 2022","Apr 4, 2022"
43,8.77,Vinland Saga,37521,https://myanimelist.net/anime/37521/Vinland_Saga,TV,24,Jul 2019,Dec 2019,Finished Airing,Summer 2019,Mondays at 00:10 (JST),Wit Studio,Manga,"Action, Adventure, Drama",Seinen,24 min. per ep.,R - 17+ (violence &amp; profanity),#63,"1,734,770","54,628","Jul 8, 2019","Dec 30, 2019"
44,8.76,Monogatari Series: Second Season,17074,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,TV,26,Jul 2013,Dec 2013,Finished Airing,Summer 2013,Sundays at 00:00 (JST),Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",N/A,25 min. per ep.,R - 17+ (violence &amp; profanity),#323,"707,060","24,130","Jul 7, 2013","Dec 29, 2013"
45,8.76,Ashita no Joe 2,2921,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,TV,47,Oct 1980,Aug 1981,Finished Airing,Fall 1980,Unknown,Tokyo Movie Shinsha,Manga,"Drama, Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#3032,"63,924","3,181","Oct 13, 1980","Aug 31, 1981"
46,8.75,Cowboy Bebop,1,https://myanimelist.net/anime/1/Cowboy_Bebop,TV,26,Apr 1998,Apr 1999,Finished Airing,Spring 1998,Saturdays at 01:00 (JST),Sunrise,Original,"Action, Award Winning, Sci-Fi",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#42,"2,004,887","87,769","Apr 3, 1998","Apr 24, 1999"
47,8.74,Bocchi the Rock!,47917,https://myanimelist.net/anime/47917/Bocchi_the_Rock,TV,12,Oct 2022,Dec 2022,Finished Airing,Fall 2022,Sundays at 00:00 (JST),CloverWorks,4-koma manga,Comedy,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#303,"735,319","34,656","Oct 9, 2022","Dec 25, 2022"
48,8.73,Tu Bian Yingxiong X,53447,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X,ONA,24,Apr 2025,Sep 2025,Finished Airing,N/A,N/A,"Pb Animation, LAN Studio, Paper Plane Animation Studio",Original,Action,N/A,25 min. per ep.,PG-13 - Teens 13 or older,#1389,"193,339","3,729","Apr 6, 2025","Sep 14, 2025"
49,8.73,Jujutsu Kaisen 2nd Season,51009,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,TV,23,Jul 2023,Dec 2023,Finished Airing,Summer 2023,Thursdays at 23:56 (JST),MAPPA,Manga,"Action, Supernatural",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#120,"1,266,003","24,982","Jul 6, 2023","Dec 28, 2023"
50,8.73,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,52198,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Movie,1,Dec 2022,Dec 2022,Finished Airing,N/A,N/A,A-1 Pictures,Manga,"Comedy, Drama, Romance",Seinen,1 hr. 36 min.,PG-13 - Teens 13 or older,#762,"348,225","2,231",N/A,N/A
51,8.73,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,59192,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie_1__Mugenjou-hen_-_Akaza_Sairai,Movie,1,Jul 2025,Jul 2025,Finished Airing,N/A,N/A,ufotable,Manga,"Action, Supernatural",Shounen,2 hr. 35 min.,R - 17+ (violence &amp; profanity),#1013,"268,239","2,760",N/A,N/A
52,8.73,Kingdom 4th Season,50160,https://myanimelist.net/anime/50160/Kingdom_4th_Season,TV,26,Apr 2022,Oct 2022,Finished Airing,Spring 2022,Sundays at 00:00 (JST),"Studio Pierrot, Studio Signpost",Manga,Action,Seinen,24 min. per ep.,R - 17+ (violence &amp; profanity),#2606,"82,829","1,149","Apr 10, 2022","Oct 2, 2022"
53,8.73,One Piece,21,https://myanimelist.net/anime/21/One_Piece,,,Oct 1999,,Currently Airing,Fall 1999,Sundays at 23:15 (JST),Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,#17,"2,589,403","244,166",N/A,N/A
54,8.72,Kaoru Hana wa Rin to Saku,59845,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku,TV,13,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Sundays at 00:30 (JST),CloverWorks,Web manga,"Drama, Romance",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#829,"324,656","5,794","Jul 6, 2025","Sep 28, 2025"
55,8.72,Kingdom 5th Season,53223,https://myanimelist.net/anime/53223/Kingdom_5th_Season,TV,13,Jan 2024,Mar 2024,Finished Airing,Winter 2024,Sundays at 00:00 (JST),"Studio Pierrot, Studio Signpost",Manga,Action,Seinen,24 min. per ep.,R - 17+ (violence &amp; profanity),#3293,"54,763",584,"Jan 14, 2024","Mar 31, 2024"
56,8.72,Mushishi Zoku Shou 2nd Season,24701,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,TV,10,Oct 2014,Dec 2014,Finished Airing,Fall 2014,Sundays at 00:30 (JST),Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#938,"286,912","1,565","Oct 19, 2014","Dec 21, 2014"
57,8.72,86 Part 2,48569,https://myanimelist.net/anime/48569/86_Part_2,TV,12,Oct 2021,Mar 2022,Finished Airing,Fall 2021,Sundays at 00:00 (JST),A-1 Pictures,Light novel,"Drama, Sci-Fi",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#401,"605,789","17,702","Oct 3, 2021","Mar 19, 2022"
58,8.72,Boku no Kokoro no Yabai Yatsu 2nd Season,55690,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,TV,13,Jan 2024,Mar 2024,Finished Airing,Winter 2024,Sundays at 01:30 (JST),Shin-Ei Animation,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#949,"283,020","5,877","Jan 7, 2024","Mar 31, 2024"
59,8.72,Shiguang Dailiren,44074,https://myanimelist.net/anime/44074/Shiguang_Dailiren,ONA,11,Apr 2021,Jul 2021,Finished Airing,N/A,N/A,LAN Studio,Original,"Drama, Mystery, Suspense",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#551,"455,545","14,235","Apr 30, 2021","Jul 9, 2021"
60,8.72,The First Slam Dunk,45649,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,Movie,1,Dec 2022,Dec 2022,Finished Airing,N/A,N/A,"Toei Animation, DandeLion Animation Studio",Manga,"Award Winning, Sports",Shounen,2 hr. 4 min.,PG-13 - Teens 13 or older,#2872,"70,504","1,002",N/A,N/A
61,8.71,Kimetsu no Yaiba: Yuukaku-hen,47778,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,TV,11,Dec 2021,Feb 2022,Finished Airing,Winter 2022,Sundays at 23:15 (JST),ufotable,Manga,"Action, Supernatural",Shounen,26 min. per ep.,R - 17+ (violence &amp; profanity),#74,"1,663,195","25,105","Dec 5, 2021","Feb 13, 2022"
62,8.71,Mob Psycho 100 III,50172,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,TV,12,Oct 2022,Dec 2022,Finished Airing,Fall 2022,Thursdays at 00:00 (JST),Bones,Web manga,"Action, Comedy, Supernatural",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#261,"814,224","12,047","Oct 6, 2022","Dec 22, 2022"
63,8.71,Code Geass: Hangyaku no Lelouch,1575,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,TV,25,Oct 2006,Jul 2007,Finished Airing,Fall 2006,Fridays at 01:25 (JST),Sunrise,Original,"Award Winning, Drama, Sci-Fi",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#22,"2,407,505","114,406","Oct 6, 2006","Jul 29, 2007"
64,8.71,Hibike! Euphonium 3,39894,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,TV,13,Apr 2024,Jun 2024,Finished Airing,Spring 2024,Sundays at 17:00 (JST),Kyoto Animation,Novel,Drama,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#2445,"91,560","1,876","Apr 7, 2024","Jun 30, 2024"
65,8.70,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,53998,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,TV,13,Jul 2023,Sep 2023,Finished Airing,Summer 2023,Saturdays at 23:00 (JST),Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#692,"380,788","4,915","Jul 8, 2023","Sep 30, 2023"
66,8.70,Chi. Chikyuu no Undou ni Tsuite,52215,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,TV,25,Oct 2024,Mar 2025,Finished Airing,Fall 2024,Saturdays at 23:45 (JST),Madhouse,Manga,Drama,Seinen,25 min. per ep.,R - 17+ (violence &amp; profanity),#1108,"243,901","5,649","Oct 5, 2024","Mar 15, 2025"
67,8.70,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,33095,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,TV,12,Jan 2017,Mar 2017,Finished Airing,Winter 2017,Saturdays at 02:25 (JST),Studio Deen,Manga,Drama,Josei,24 min. per ep.,PG-13 - Teens 13 or older,#1349,"198,907","3,227","Jan 7, 2017","Mar 25, 2017"
68,8.69,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,OVA,4,Feb 1999,Sep 1999,Finished Airing,N/A,N/A,Studio Deen,Manga,"Action, Drama, Romance",Shounen,29 min. per ep.,R - 17+ (violence &amp; profanity),#930,"289,184","6,415","Feb 20, 1999","Sep 22, 1999"
69,8.69,Violet Evergarden,33352,https://myanimelist.net/anime/33352/Violet_Evergarden,TV,13,Jan 2018,Apr 2018,Finished Airing,Winter 2018,Thursdays at 00:00 (JST),Kyoto Animation,Light novel,Drama,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#46,"1,938,889","67,156","Jan 11, 2018","Apr 5, 2018"
70,8.68,Great Teacher Onizuka,245,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,TV,43,Jun 1999,Sep 2000,Finished Airing,Summer 1999,Wednesdays at 19:30 (JST),Studio Pierrot,Manga,Comedy,Shounen,25 min. per ep.,R - 17+ (violence &amp; profanity),#219,"895,848","28,145","Jun 30, 1999","Sep 17, 2000"
71,8.68,Mo Dao Zu Shi: Wanjie Pian,40434,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,ONA,12,Aug 2021,Oct 2021,Finished Airing,N/A,N/A,B.CMAY PICTURES,Web novel,"Action, Adventure, Drama, Fantasy, Mystery",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#2407,"93,556","1,710","Aug 7, 2021","Oct 16, 2021"
72,8.68,Mushishi Zoku Shou,21939,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,TV,10,Apr 2014,Jun 2014,Finished Airing,Spring 2014,Saturdays at 00:00 (JST),Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#844,"320,796","1,630","Apr 5, 2014","Jun 21, 2014"
73,8.67,Mononoke Hime,164,https://myanimelist.net/anime/164/Mononoke_Hime,Movie,1,Jul 1997,Jul 1997,Finished Airing,N/A,N/A,Studio Ghibli,Original,"Action, Adventure, Award Winning, Fantasy",N/A,2 hr. 13 min.,PG-13 - Teens 13 or older,#106,"1,348,068","23,692",N/A,N/A
